1111 ; dhr. ; A. ;  ; Hilverda ; ouder ; Snoystraat ; 1 ; Gouda ; 2802 SV ; 06-1234321 ; 0182-234321 ; Hilverda@planeet.nl
1839 ; dhr. ; A. ;  ; Zwaga ; ouder ; Koningin Wilhelminaweg ; 30 ; Gouda ; 2802 HT ; 06-3381921 ; 0182-381921 ; Zwaga@gmailer.com
1867 ; dhr. ; E. ;  ; Dekkinga ; ouder ; Veenzoom ; 7 ; Gouda ; 2804 CJ ; 06-3485689 ; 0182-485689 ; Dekkinga@hotmailing.com
1895 ; dhr. ; I. ;  ; Hoitenga ; ouder ; Zonnedauw ; 17 ; Reeuwijk ; 2811 RM ; 06-3591025 ; 0182-591025 ; Hoitenga@planeet.nl
1923 ; dhr. ; M. ;  ; Medema ; ouder ; Gaffelaarwerf ; 27 ; Gouda ; 2804 MH ; 06-3697929 ; 0182-697929 ; Medema@hetweb.nl
1951 ; dhr. ; Q. ;  ; Schrijfsma ; ouder ; Bloemendaalseweg ; 4 ; Gouda ; 2803 AW ; 06-3806401 ; 0182-806401 ; Schrijfsma@xs4you.nl
1979 ; dhr. ; U. ;  ; Vierstra ; ouder ; Johannes Poststraat ; 14 ; Gouda ; 2806 KC ; 06-3916441 ; 0182-916441 ; Vierstra@zoggi.nl
2007 ; dhr. ; Y. ;  ; Belksma ; ouder ; Middenmolenlaan ; 24 ; Gouda ; 2807 DM ; 06-4028049 ; 0182-28049 ; Belksma@freeweb.com
2035 ; dhr. ; C.Th. ;  ; Frijda ; ouder ; Vondelstraat ; 1 ; Gouda ; 2802 NJ ; 06-4141225 ; 0182-141225 ; Frijda@gmailer.com
2063 ; dhr. ; G. ;  ; Jouwsma ; ouder ; Crocuspad ; 11 ; Gouda ; 2803 AR ; 06-4255969 ; 0182-255969 ; Jouwsma@hotmailing.com
2091 ; dhr. ; K. ;  ; Polsema ; ouder ; Verzetslaan ; 21 ; Gouda ; 2806 MS ; 06-4372281 ; 0182-372281 ; Polsema@planeet.nl
2119 ; dhr. ; O. ;  ; Steginga ; ouder ; Rembrandtstraat ; 31 ; Reeuwijk ; 2811 XC ; 06-4490161 ; 0182-490161 ; Steginga@hetweb.nl
2147 ; dhr. ; S. ;  ; Woldenga ; ouder ; Gouderakse Tiendweg Sectie L ; 8 ; Gouda ; 2808 NH ; 06-4609609 ; 0182-609609 ; Woldenga@xs4you.nl
2175 ; dhr. ; W. ;  ; Broksma ; ouder ; Heuvellaan ; 18 ; Gouda ; 2803 DN ; 06-4730625 ; 0182-730625 ; Broksma@zoggi.nl
2203 ; dhr. ; A. ;  ; Heinstra ; ouder ; Van Staverenstraat ; 28 ; Reeuwijk ; 2811 TN ; 06-4853209 ; 0182-853209 ; Heinstra@freeweb.com
2231 ; dhr. ; E. ;  ; Leegsma ; ouder ; Naaierstraat ; 5 ; Gouda ; 2801 NG ; 06-4977361 ; 0182-977361 ; Leegsma@gmailer.com
2259 ; dhr. ; I. ;  ; Rotsma ; ouder ; Verdistraat ; 15 ; Gouda ; 2807 HS ; 06-5103081 ; 0182-103081 ; Rotsma@hotmailing.com
2287 ; dhr. ; M. ;  ; Torensma ; ouder ; Mondlanestraat ; 25 ; Gouda ; 2807 RJ ; 06-5230369 ; 0182-230369 ; Torensma@planeet.nl
2315 ; dhr. ; Q. ;  ; Aukema ; ouder ; Muurmos ; 2 ; Reeuwijk ; 2811 JB ; 06-5359225 ; 0182-359225 ; Aukema@hetweb.nl
2343 ; dhr. ; U. ;  ; Elzinga ; ouder ; Waterland ; 12 ; Stolwijk ; 2821 ZH ; 06-5489649 ; 0182-489649 ; Elzinga@xs4you.nl
2371 ; dhr. ; Y. ;  ; IJntema ; ouder ; Van Staverenstraat ; 22 ; Reeuwijk ; 2811 TK ; 06-5621641 ; 0182-621641 ; IJntema@zoggi.nl
2399 ; dhr. ; C. ;  ; Ongersma ; ouder ; Looierspoort ; 32 ; Gouda ; 2801 LP ; 06-5755201 ; 0182-755201 ; Ongersma@freeweb.com
2427 ; dhr. ; G. ;  ; Sipma ; ouder ; Zeugstraat ; 9 ; Gouda ; 2801 JB ; 06-5890329 ; 0182-890329 ; Sipma@gmailer.com
2455 ; dhr. ; K. ;  ; Wibena ; ouder ; Raadhuisweg ; 19 ; Reeuwijk ; 2811 KA ; 06-6027025 ; 0182-27025 ; Wibena@hotmailing.com
2483 ; dhr. ; O. ;  ; Bonga ; ouder ; 't Kerkestuk ; 29 ; Reeuwijk ; 2811 BE ; 06-6165289 ; 0182-165289 ; Bonga@planeet.nl
2511 ; dhr. ; S. ;  ; Haijenga ; ouder ; Prunuslaan ; 6 ; Gouda ; 2803 SC ; 06-6305121 ; 0182-305121 ; Haijenga@hetweb.nl
2532 ; mw. ; V. ;  ; Jorna ; ouder ; De Genestetstraat ; 16 ; Gouda ; 2802 XE ; 06-6411024 ; 0182-411024 ; Jorna@xs4you.nl
2553 ; dhr. ; Y. ;  ; Muntinga ; ouder ; Bosweg ; 26 ; Gouda ; 2802 NR ; 06-6517809 ; 0182-517809 ; Muntinga@zoggi.nl
2574 ; mw. ; B. ;  ; Schaafsma ; ouder ; Zuidelijke Steijnkade ; 3 ; Gouda ; 2806 ZB ; 06-6625476 ; 0182-625476 ; Schaafsma@freeweb.com
2595 ; dhr. ; E. ;  ; Tekstra ; ouder ; Turfmarkt ; 13 ; Gouda ; 2801 HB ; 06-6734025 ; 0182-734025 ; Tekstra@gmailer.com
2616 ; mw. ; H. ; de ; Winia ; ouder ; Tollensstraat ; 23 ; Gouda ; 2802 LK ; 06-6843456 ; 0182-843456 ; Winia@hotmailing.com
2637 ; dhr. ; K. ;  ; Blesma ; ouder ; Bleulandweg ; 33 ; Gouda ; 2803 HS ; 06-6953769 ; 0182-953769 ; Blesma@planeet.nl
2658 ; mw. ; N. ;  ; Feeringa ; ouder ; Rodenburg ; 10 ; Gouda ; 2804 WL ; 06-7064964 ; 0182-64964 ; Feeringa@hetweb.nl
2679 ; dhr. ; Q. ;  ; Hommema ; ouder ; Baljuwslag ; 20 ; Gouda ; 2805 DB ; 06-7177041 ; 0182-177041 ; Hommema@xs4you.nl
2700 ; mw. ; T. ;  ; Lamstra ; ouder ; Ronsseweg ; 30 ; Gouda ; 2803 ZS ; 06-7290000 ; 0182-290000 ; Lamstra@zoggi.nl
2721 ; dhr. ; W. ;  ; Reijenga ; ouder ; Anna van Hensbeeksingel ; 7 ; Gouda ; 2803 LL ; 06-7403841 ; 0182-403841 ; Reijenga@freeweb.com
2742 ; mw. ; Z. ;  ; Sminia ; ouder ; Bloeme ; 17 ; Reeuwijk ; 2811 AM ; 06-7518564 ; 0182-518564 ; Sminia@gmailer.com
2763 ; dhr. ; C. ;  ; Vollenga ; ouder ; Haastenburg ; 27 ; Gouda ; 2804 VA ; 06-7634169 ; 0182-634169 ; Vollenga@hotmailing.com
2784 ; mw. ; F. ;  ; Asinga ; ouder ; Rijnenburg ; 4 ; Gouda ; 2804 ZM ; 06-7750656 ; 0182-750656 ; Asinga@planeet.nl
2805 ; dhr. ; I. ;  ; Cleveringa ; ouder ; Van Heuven Goedhartstraat ; 14 ; Reeuwijk ; 2811 BW ; 06-7868025 ; 0182-868025 ; Cleveringa@hetweb.nl
2826 ; mw. ; L. ;  ; Hansma ; ouder ; Koningin Wilhelminaweg ; 24 ; Gouda ; 2802 HK ; 06-7986276 ; 0182-986276 ; Hansma@xs4you.nl
2847 ; dhr. ; O. ;  ; Kalksma ; ouder ; Gouderaksedijk ; 1 ; Gouda ; 2808 NB ; 06-8105409 ; 0182-105409 ; Kalksma@zoggi.nl
2868 ; mw. ; R. ; van ; Offeringa ; ouder ; Bunchestraat ; 11 ; Reeuwijk ; 2811 SK ; 06-8225424 ; 0182-225424 ; Offeringa@freeweb.com
2889 ; dhr. ; U.M.H. ;  ; Scherstra ; ouder ; Populierenlaan ; 21 ; Stolwijk ; 2821 BA ; 06-8346321 ; 0182-346321 ; Scherstra@gmailer.com
2910 ; mw. ; X. ;  ; Tiesinga ; ouder ; Plataanstraat ; 31 ; Gouda ; 2803 ST ; 06-8468100 ; 0182-468100 ; Tiesinga@hotmailing.com
2931 ; dhr. ; A. ;  ; Yetsinga ; ouder ; Violagaarde ; 8 ; Gouda ; 2803 TK ; 06-8590761 ; 0182-590761 ; Yetsinga@planeet.nl
2952 ; mw. ; D. ;  ; Bogtstra ; ouder ; Vondelstraat ; 18 ; Gouda ; 2802 NK ; 06-8714304 ; 0182-714304 ; Bogtstra@hetweb.nl
2973 ; dhr. ; G. ;  ; Fokma ; ouder ; Pijnboomweg ; 28 ; Gouda ; 2803 KB ; 06-8838729 ; 0182-838729 ; Fokma@xs4you.nl
2994 ; mw. ; J. ;  ; Hottinga ; ouder ; Schoonhovensweg ; 5 ; Gouda ; 2808 PD ; 06-8964036 ; 0182-964036 ; Hottinga@zoggi.nl
3015 ; dhr. ; M. ;  ; Lemmersma ; ouder ; Vlietenburg ; 15 ; Gouda ; 2804 WS ; 06-9090225 ; 0182-90225 ; Lemmersma@freeweb.com
3036 ; mw. ; P. ; de ; Retra ; ouder ; Tweede Schoolstraat ; 25 ; Gouda ; 2802 SN ; 06-9217296 ; 0182-217296 ; Retra@gmailer.com
3057 ; dhr. ; S. ;  ; Staa ; ouder ; Bleulandweg ; 2 ; Gouda ; 2803 HL ; 06-9345249 ; 0182-345249 ; Staa@hotmailing.com
3078 ; mw. ; V. ;  ; Walma ; ouder ; Van Baerlestraat ; 12 ; Gouda ; 2802 GJ ; 06-9474084 ; 0182-474084 ; Walma@planeet.nl
3099 ; dhr. ; Y. ;  ; Balstra ; ouder ; Johannes Poststraat ; 22 ; Gouda ; 2806 KA ; 06-9603801 ; 0182-603801 ; Balstra@hetweb.nl
3120 ; mw. ; B. ;  ; Diepstra ; ouder ; Van Staverenstraat ; 32 ; Reeuwijk ; 2811 TJ ; 06-9734400 ; 0182-734400 ; Diepstra@xs4you.nl
3141 ; dhr. ; E. ;  ; Heemenga ; ouder ; Rentmeesterslag ; 9 ; Gouda ; 2805 ET ; 06-9865881 ; 0182-865881 ; Heemenga@zoggi.nl
3162 ; mw. ; H. ;  ; Kema ; ouder ; Weegbreegaarde ; 19 ; Gouda ; 2803 TH ; 06-9998244 ; 0182-998244 ; Kema@freeweb.com
3183 ; dhr. ; K. ;  ; Ouwinga ; ouder ; Kattensingel ; 29 ; Gouda ; 2801 CC ; 06-10131489 ; 0182-131489 ; Ouwinga@gmailer.com
3204 ; mw. ; N. ;  ; Schultinga ; ouder ; Ridder van Catsweg ; 6 ; Gouda ; 2805 BB ; 06-10265616 ; 0182-265616 ; Schultinga@hotmailing.com
3225 ; dhr. ; Q. ;  ; Tjaerda ; ouder ; 's-Gravenbroekseweg ; 16 ; Reeuwijk ; 2811 GE ; 06-10400625 ; 0182-400625 ; Tjaerda@planeet.nl
3246 ; mw. ; T. ;  ; Zeilstra ; ouder ; Swadenburg ; 26 ; Gouda ; 2804 VH ; 06-10536516 ; 0182-536516 ; Zeilstra@hetweb.nl
3267 ; dhr. ; W. ;  ; Bordenga ; ouder ; Rozetuin ; 3 ; Reeuwijk ; 2811 AB ; 06-10673289 ; 0182-673289 ; Bordenga@xs4you.nl
3288 ; mw. ; Z. ; van ; Galema ; ouder ; Graaf Florisweg ; 13 ; Gouda ; 2805 AX ; 06-10810944 ; 0182-810944 ; Galema@zoggi.nl
3309 ; dhr. ; C. ;  ; Hylkema ; ouder ; Van Henegouwenstraat ; 23 ; Gouda ; 2805 PG ; 06-10949481 ; 0182-949481 ; Hylkema@freeweb.com
3330 ; mw. ; F. ;  ; Loddema ; ouder ; Deborah Hoeve ; 33 ; Gouda ; 2804 HL ; 06-11088900 ; 0182-88900 ; Loddema@gmailer.com
3351 ; dhr. ; I. ;  ; Rijpema ; ouder ; Da Costakade ; 10 ; Gouda ; 2802 VP ; 06-11229201 ; 0182-229201 ; Rijpema@hotmailing.com
3372 ; mw. ; L. ;  ; Stellingsma ; ouder ; Van Persijnstraat ; 20 ; Gouda ; 2806 RX ; 06-11370384 ; 0182-370384 ; Stellingsma@planeet.nl
3393 ; dhr. ; O. ;  ; Weijma ; ouder ; Rietgors ; 30 ; Stolwijk ; 2821 SP ; 06-11512449 ; 0182-512449 ; Weijma@hetweb.nl
3414 ; mw. ; R.M.H. ;  ; Batema ; ouder ; Jan Luykenstraat ; 7 ; Gouda ; 2806 PG ; 06-11655396 ; 0182-655396 ; Batema@xs4you.nl
3435 ; dhr. ; U. ;  ; Douwma ; ouder ; Jan van Riebeecklaan ; 17 ; Gouda ; 2803 WN ; 06-11799225 ; 0182-799225 ; Douwma@zoggi.nl
3456 ; mw. ; X. ; de ; Hellema ; ouder ; Jaagpad ; 27 ; Gouda ; 2802 BA ; 06-11943936 ; 0182-943936 ; Hellema@freeweb.com
3477 ; dhr. ; A. ;  ; Kleveringa ; ouder ; Bernhardhof ; 4 ; Gouda ; 2802 GT ; 06-12089529 ; 0182-89529 ; Kleveringa@gmailer.com
3498 ; mw. ; D. ;  ; Penninga ; ouder ; Tuinstraat ; 14 ; Gouda ; 2801 ZP ; 06-12236004 ; 0182-236004 ; Penninga@hotmailing.com
3519 ; dhr. ; G. ;  ; Siebinga ; ouder ; Kleiwegstraat ; 24 ; Gouda ; 2801 GM ; 06-12383361 ; 0182-383361 ; Siebinga@planeet.nl
3540 ; mw. ; J. ;  ; Troelstra ; ouder ; Oosthoef ; 1 ; Gouda ; 2804 ST ; 06-12531600 ; 0182-531600 ; Troelstra@hetweb.nl
3561 ; dhr. ; M. ;  ; Zuininga ; ouder ; Ronsseweg ; 11 ; Gouda ; 2803 ZD ; 06-12680721 ; 0182-680721 ; Zuininga@xs4you.nl
3582 ; mw. ; P. ;  ; Boutsema ; ouder ; Aernout Drostkade ; 21 ; Gouda ; 2802 TM ; 06-12830724 ; 0182-830724 ; Boutsema@zoggi.nl
3603 ; dhr. ; S. ;  ; Gjeltema ; ouder ; Achterwillenseweg ; 31 ; Gouda ; 2805 JW ; 06-12981609 ; 0182-981609 ; Gjeltema@freeweb.com
3624 ; mw. ; V. ;  ; IJtsema ; ouder ; Wilhelmina van Pruisenlaan ; 8 ; Gouda ; 2807 MH ; 06-13133376 ; 0182-133376 ; IJtsema@gmailer.com
3645 ; dhr. ; Y. ;  ; Matla ; ouder ; Raam ; 18 ; Gouda ; 2801 VR ; 06-13286025 ; 0182-286025 ; Matla@hotmailing.com
3666 ; mw. ; B. ;  ; Rittersma ; ouder ; Componistenlaan ; 28 ; Gouda ; 2807 HD ; 06-13439556 ; 0182-439556 ; Rittersma@planeet.nl
3687 ; dhr. ; E. ;  ; Strijkstra ; ouder ; Joubertstraat ; 5 ; Gouda ; 2806 GC ; 06-13593969 ; 0182-593969 ; Strijkstra@hetweb.nl
3708 ; mw. ; H. ; van ; Wielema ; ouder ; Achterwillenseweg ; 15 ; Gouda ; 2805 KA ; 06-13749264 ; 0182-749264 ; Wielema@xs4you.nl
3729 ; dhr. ; K. ;  ; Bekkema ; ouder ; Zoutmanplein ; 25 ; Gouda ; 2806 WP ; 06-13905441 ; 0182-905441 ; Bekkema@zoggi.nl
3750 ; mw. ; N. ;  ; Eedema ; ouder ; Krugerlaan ; 2 ; Gouda ; 2806 EH ; 06-14062500 ; 0182-62500 ; Eedema@freeweb.com
3771 ; dhr. ; Q. ;  ; Hibma ; ouder ; Bunchestraat ; 12 ; Reeuwijk ; 2811 SH ; 06-14220441 ; 0182-220441 ; Hibma@gmailer.com
3792 ; mw. ; T. ;  ; Kolkema ; ouder ; Nieuwehaven ; 22 ; Gouda ; 2801 EE ; 06-14379264 ; 0182-379264 ; Kolkema@hotmailing.com
3813 ; dhr. ; W. ;  ; Poetsma ; ouder ; Van Heuven Goedhartstraat ; 32 ; Reeuwijk ; 2811 BT ; 06-14538969 ; 0182-538969 ; Poetsma@planeet.nl
3834 ; mw. ; Z. ;  ; Sijbertsma ; ouder ; Nieuwdorperweg ; 9 ; Reeuwijk ; 2811 LA ; 06-14699556 ; 0182-699556 ; Sijbertsma@hetweb.nl
3855 ; dhr. ; C. ;  ; Unema ; ouder ; Poldermolendreef ; 19 ; Gouda ; 2807 HB ; 06-14861025 ; 0182-861025 ; Unema@xs4you.nl
3876 ; mw. ; F. ; de ; Agema ; ouder ; Hopgaarde ; 29 ; Gouda ; 2803 RR ; 06-15023376 ; 0182-23376 ; Agema@zoggi.nl
3897 ; dhr. ; I. ;  ; Broeksma ; ouder ; Bunchestraat ; 6 ; Reeuwijk ; 2811 SJ ; 06-15186609 ; 0182-186609 ; Broeksma@freeweb.com
3918 ; mw. ; L. ;  ; Gropstra ; ouder ; Marathonlaan ; 16 ; Gouda ; 2807 BB ; 06-15350724 ; 0182-350724 ; Gropstra@gmailer.com
3939 ; dhr. ; O.M.H. ;  ; Jedema ; ouder ; Bilwijkerweg ; 26 ; Stolwijk ; 2821 SE ; 06-15515721 ; 0182-515721 ; Jedema@hotmailing.com
3960 ; mw. ; R. ;  ; Menalda ; ouder ; Raesbergenstraat ; 3 ; Gouda ; 2804 TH ; 06-15681600 ; 0182-681600 ; Menalda@planeet.nl
3981 ; dhr. ; U. ;  ; Roosma ; ouder ; Moerbeistraat ; 13 ; Gouda ; 2803 TC ; 06-15848361 ; 0182-848361 ; Roosma@hetweb.nl
4002 ; mw. ; X. ;  ; Sytsema ; ouder ; Lage Gouwe ; 23 ; Gouda ; 2801 LN ; 06-16016004 ; 0182-16004 ; Sytsema@xs4you.nl
4023 ; dhr. ; A. ;  ; Wiglema ; ouder ; Snippendreef ; 33 ; Stolwijk ; 2821 WB ; 06-16184529 ; 0182-184529 ; Wiglema@zoggi.nl
4044 ; mw. ; D. ;  ; Bieringa ; ouder ; Rembrandtstraat ; 10 ; Reeuwijk ; 2811 XB ; 06-16353936 ; 0182-353936 ; Bieringa@freeweb.com
4065 ; dhr. ; G. ;  ; Elsma ; ouder ; Heesterlaan ; 20 ; Gouda ; 2803 BM ; 06-16524225 ; 0182-524225 ; Elsma@gmailer.com
4086 ; mw. ; J. ;  ; Hobbema ; ouder ; Nonnenwater ; 30 ; Gouda ; 2801 VA ; 06-16695396 ; 0182-695396 ; Hobbema@hotmailing.com
4107 ; dhr. ; M. ;  ; Kraaijinga ; ouder ; Waterruit ; 7 ; Gouda ; 2804 PG ; 06-16867449 ; 0182-867449 ; Kraaijinga@planeet.nl
4128 ; mw. ; P. ; van ; Postiena ; ouder ; Madrigaalhof ; 17 ; Gouda ; 2807 PL ; 06-17040384 ; 0182-40384 ; Postiena@hetweb.nl
4149 ; dhr. ; S. ;  ; Sinnega ; ouder ; Mercatorsingel ; 27 ; Gouda ; 2803 ER ; 06-17214201 ; 0182-214201 ; Sinnega@xs4you.nl
4170 ; mw. ; V. ; van de ; Vellinga ; ouder ; Groeneweg ; 4 ; Gouda ; 2801 ZB ; 06-17388900 ; 0182-388900 ; Vellinga@zoggi.nl
4191 ; dhr. ; Y. ;  ; Alserda ; ouder ; Gentseweg ; 14 ; Gouda ; 2803 PC ; 06-17564481 ; 0182-564481 ; Alserda@freeweb.com
4212 ; mw. ; B. ;  ; Buitenga ; ouder ; Koningin Wilhelminahof ; 24 ; Reeuwijk ; 2811 SZ ; 06-17740944 ; 0182-740944 ; Buitenga@gmailer.com
4233 ; dhr. ; E. ;  ; Haga ; ouder ; Parallelweg ; 1 ; Reeuwijk ; 2811 NS ; 06-17918289 ; 0182-918289 ; Haga@hotmailing.com
4254 ; mw. ; H. ;  ; Jongsma ; ouder ; Zoutmansweg ; 11 ; Reeuwijk ; 2811 EX ; 06-18096516 ; 0182-96516 ; Jongsma@planeet.nl
4275 ; dhr. ; K. ;  ; Morrema ; ouder ; Jan van Renesseplein ; 21 ; Gouda ; 2805 GT ; 06-18275625 ; 0182-275625 ; Morrema@hetweb.nl
4296 ; mw. ; N. ; de ; Santema ; ouder ; Cort van der Lindenstraat ; 31 ; Gouda ; 2805 SW ; 06-18455616 ; 0182-455616 ; Santema@xs4you.nl
4317 ; dhr. ; Q. ;  ; Teinsma ; ouder ; Bieslookgaarde ; 8 ; Gouda ; 2803 RC ; 06-18636489 ; 0182-636489 ; Teinsma@zoggi.nl
4338 ; mw. ; T. ;  ; Wilstra ; ouder ; Joost de Hondtlaan ; 18 ; Gouda ; 2803 XJ ; 06-18818244 ; 0182-818244 ; Wilstra@freeweb.com
4359 ; dhr. ; W. ;  ; Bleijenga ; ouder ; Provincialeweg ; 28 ; Stolwijk ; 2821 QQ ; 06-19000881 ; 0182-881 ; Bleijenga@gmailer.com
4380 ; mw. ; Z. ;  ; Feddema ; ouder ; Pelmolenerf ; 5 ; Gouda ; 2807 EM ; 06-19184400 ; 0182-184400 ; Feddema@hotmailing.com
4401 ; dhr. ; C. ;  ; Holwarda ; ouder ; Nieuwehaven ; 15 ; Gouda ; 2801 EC ; 06-19368801 ; 0182-368801 ; Holwarda@planeet.nl
4422 ; mw. ; F. ;  ; Lammersma ; ouder ; Achter de Vismarkt ; 25 ; Gouda ; 2801 NC ; 06-19554084 ; 0182-554084 ; Lammersma@hetweb.nl
4443 ; dhr. ; I. ;  ; Reidinga ; ouder ; Bollenveld ; 2 ; Stolwijk ; 2821 TP ; 06-19740249 ; 0182-740249 ; Reidinga@xs4you.nl
4464 ; mw. ; L.M.H. ;  ; Smedinga ; ouder ; Constantijn Huygensstraat ; 12 ; Gouda ; 2802 LW ; 06-19927296 ; 0182-927296 ; Smedinga@zoggi.nl
4485 ; dhr. ; O. ;  ; Volbeda ; ouder ; Vasco da Gamalaan ; 22 ; Gouda ; 2803 XV ; 06-20115225 ; 0182-115225 ; Volbeda@freeweb.com
4506 ; mw. ; R. ;  ; Arentsma ; ouder ; Hofpoldersingel ; 32 ; Gouda ; 2807 LW ; 06-20304036 ; 0182-304036 ; Arentsma@gmailer.com
4527 ; dhr. ; U. ;  ; Camstra ; ouder ; Westhoef ; 9 ; Gouda ; 2804 SP ; 06-20493729 ; 0182-493729 ; Camstra@hotmailing.com
4548 ; mw. ; X. ; van ; Hanema ; ouder ; Willem de Zwijgersingel ; 19 ; Gouda ; 2805 BR ; 06-20684304 ; 0182-684304 ; Hanema@planeet.nl
4569 ; dhr. ; A. ;  ; Kainama ; ouder ; Drielingschouw ; 29 ; Reeuwijk ; 2811 LP ; 06-20875761 ; 0182-875761 ; Kainama@hetweb.nl
4590 ; mw. ; D. ;  ; Oegema ; ouder ; Sjahrirsingel ; 6 ; Gouda ; 2807 RT ; 06-21068100 ; 0182-68100 ; Oegema@xs4you.nl
4611 ; dhr. ; G. ;  ; Scheninga ; ouder ; Chopinstraat ; 16 ; Gouda ; 2807 PR ; 06-21261321 ; 0182-261321 ; Scheninga@zoggi.nl
4625 ; dhr. ; I. ;  ; Steursma ; ouder ; Goudseweg ; 26 ; Stolwijk ; 2821 NA ; 06-21390625 ; 0182-390625 ; Steursma@freeweb.com
4639 ; dhr. ; K. ;  ; Veersema ; ouder ; Karekietstraat ; 3 ; Stolwijk ; 2821 XP ; 06-21520321 ; 0182-520321 ; Veersema@gmailer.com
