2402 ; Alexei ;  ; IJntema ; M ; 1B1 ; 2371
2407 ; Tamara ;  ; Ongersma ; V ; 1M2 ; 2399
2443 ; Melody ;  ; Feeringa ; V ; 1M2 ; 2658
2737 ; Hella ;  ; Hemmema ; V ; 1M2 ; 4709
2285 ; Jorinda ;  ; Apma ; V ; 1M2 ; 1531
3078 ; Taco ;  ; Potma ; M ; 1M2 ; 7103
2739 ; Lauren ;  ; Jilderda ; V ; 1M2 ; 4723
2718 ; Renaldo ;  ; Kainama ; M ; 1M2 ; 4569
2763 ; Hilda ;  ; Kuilma ; V ; 1M2 ; 4891
2823 ; Zwany ;  ; Deenstra ; V ; 1M2 ; 5311
2414 ; Ewan ;  ; Wibena ; M ; 1M2 ; 2455
2550 ; Tiemo ;  ; Weijma ; M ; 1M2 ; 3393
2494 ; Folkert ;  ; Lemmersma ; M ; 1M2 ; 3015
3287 ; Shivani ;  ; Wogma ; V ; 1M2 ; 8566
2234 ; Dimitri ;  ; Velema ; M ; 1M2 ; 1195
3290 ; Chriet ;  ; Bloksma ; M ; 1M2 ; 8587
2700 ; Wâte ;  ; Reidinga ; M ; 1M2 ; 4443
2613 ; Robina ;  ; Sijbertsma ; V ; 1M2 ; 3834
2330 ; Sape ;  ; Dekkinga ; M ; 1M2 ; 1867
2455 ; Maaike ;  ; Sminia ; V ; 1M2 ; 2742
3093 ; Sonsaray ; van ; Haijma ; V ; 1M2 ; 7208
2332 ; Aad ;  ; Dekkinga ; M ; 1M2 ; 1867
2988 ; Sigmund ;  ; Peringa ; M ; 1M2 ; 6473
2469 ; Mieke ;  ; Hansma ; V ; 1M2 ; 2826
2697 ; Evi ;  ; Lammersma ; V ; 1M2 ; 4422
2412 ; Aljan ;  ; Sipma ; M ; 1M2 ; 2427
2296 ; Jaco ;  ; Ockema ; M ; 1M2 ; 1615
2588 ; Philippe ;  ; Rittersma ; M ; 1M2 ; 3666
2521 ; Moniek ;  ; Schultinga ; V ; 1M3 ; 3204
2306 ; Jacques ;  ; Boerma ; M ; 1M3 ; 1699
2356 ; Jean-Jacques ;  ; Frijda ; M ; 1M3 ; 2035
2954 ; Jelle ;  ; Berisha ; M ; 1M3 ; 6235
2388 ; Mitis ;  ; Rotsma ; M ; 1M3 ; 2259
2559 ; Marianthy ; de ; Hellema ; V ; 1M3 ; 3456
2681 ; Alicia ;  ; Teinsma ; V ; 1M3 ; 4317
3286 ; Reinhard ;  ; Weeda ; M ; 1M3 ; 8559
2974 ; Jeroen ;  ; Wubbena ; M ; 1M3 ; 6375
2387 ; Gretha ;  ; Rotsma ; V ; 1M3 ; 2259
2869 ; Linet ;  ; Feitsma ; V ; 1M3 ; 5633
2863 ; Arlette ;  ; Wobbema ; V ; 1M3 ; 5591
2493 ; Laurian ;  ; Hottinga ; V ; 1M3 ; 2994
2464 ; Fije ;  ; Cleveringa ; M ; 1M3 ; 2805
2732 ; Coen ;  ; Bruinsma ; M ; 1M3 ; 4681
3072 ; Fokke ;  ; Hoekenga ; M ; 1M3 ; 7061
2246 ; Idse ;  ; Jolsma ; M ; 1M3 ; 1279
3134 ; Just ;  ; Bossema ; M ; 1M3 ; 7495
2927 ; Alexandra ;  ; Tyema ; V ; 1M3 ; 6046
3247 ; Phebe ;  ; Dekinga ; V ; 1M3 ; 8286
2567 ; Dymfna ;  ; Siebinga ; V ; 1M3 ; 3519
2378 ; Misha ;  ; Heinstra ; M ; 1M3 ; 2203
2604 ; Gerolf ;  ; Hibma ; M ; 1M3 ; 3771
2245 ; Hettie ;  ; Folbeda ; V ; 1M3 ; 1251
3248 ; Vik ;  ; Enninga ; M ; 1M3 ; 8293
2418 ; Nasir ;  ; Bonga ; M ; 1M3 ; 2483
3012 ; Fabio ;  ; Roefstra ; M ; 2V1 ; 6641
3289 ; Zarita ;  ; Baringa ; V ; 2V1 ; 8580
2731 ; Tiny ;  ; Beekma ; V ; 2V1 ; 4667
3083 ; Anniek ;  ; Tijsma ; V ; 2V1 ; 7138
2323 ; Ingrid ;  ; Tammenga ; V ; 2V1 ; 1811
3321 ; Jorne ;  ; Kraaima ; V ; 2V1 ; 8804
2651 ; Noëlla ;  ; Kraaijinga ; V ; 2V1 ; 4107
2999 ; Maike ;  ; Bilstra ; V ; 2V1 ; 6550
3029 ; Trudi ;  ; Jubbema ; V ; 2V1 ; 6760
2881 ; Kathleen ;  ; Soetinga ; V ; 2V1 ; 5717
2837 ; Ans ;  ; Streekstra ; V ; 2V1 ; 5409
2626 ; Klaas ;  ; Jedema ; M ; 2V1 ; 3939
2282 ; Yousri ;  ; Apma ; M ; 2V1 ; 1531
2926 ; Michiel ;  ; Teertstra ; M ; 2V1 ; 6039
2396 ; Jerome ;  ; Aukema ; M ; 2V1 ; 2315
2329 ; Soraya ;  ; Zwaga ; V ; 2V1 ; 1839
2264 ; Don ;  ; Brandsema ; M ; 2V1 ; 1391
2431 ; Olivia ;  ; Schaafsma ; V ; 2V1 ; 2574
3242 ; Godart ;  ; Wijna ; M ; 2V1 ; 8251
2262 ; Yorick ;  ; Brandsema ; M ; 2V1 ; 1391
2398 ; Morris ;  ; Elzinga ; M ; 2V1 ; 2343
2505 ; Jolande ;  ; Walma ; V ; 2V1 ; 3078
2961 ; Menke ;  ; Idsinga ; V ; 2V1 ; 6284
2544 ; Frits ;  ; Rijpema ; M ; 2V1 ; 3351
2483 ; Philippina ;  ; Yetsinga ; V ; 2V1 ; 2931
2644 ; Gil ;  ; Elsma ; M ; 2V1 ; 4065
2551 ; Zurine ;  ; Batema ; V ; 2V1 ; 3414
2743 ; Senait ;  ; Petstra ; V ; 2V2 ; 4751
2897 ; Ninette ;  ; Kraaijema ; V ; 2V2 ; 5829
2580 ; Tjerk ;  ; Gjeltema ; M ; 2V2 ; 3603
3254 ; Kurt ;  ; Kruizenga ; M ; 2V2 ; 8335
2513 ; Annabet ;  ; Heemenga ; V ; 2V2 ; 3141
2627 ; Sylva ;  ; Jedema ; V ; 2V2 ; 3939
3256 ; Ramesa ;  ; Ortega ; M ; 2V2 ; 8349
3231 ; Laetitia ;  ; Klevringa ; V ; 2V2 ; 8174
2840 ; Yoran ;  ; Zaagstra ; M ; 2V2 ; 5437
2260 ; Ronnie ;  ; Wijtema ; M ; 2V2 ; 1363
3187 ; Beddie ;  ; Kundersma ; V ; 2V2 ; 7866
2692 ; Cédric ;  ; Holwarda ; M ; 2V2 ; 4401
3184 ; Kenji ;  ; Hollema ; M ; 2V2 ; 7845
3292 ; Haije ;  ; Dongstra ; M ; 2V2 ; 8601
2914 ; Jarich ;  ; Haersma ; M ; 2V2 ; 5955
3138 ; Tijmen ;  ; Harenga ; M ; 2V2 ; 7523
2273 ; Leontine ;  ; Kylstra ; V ; 2V2 ; 1447
2360 ; Serge ;  ; Jouwsma ; M ; 2V2 ; 2063
3209 ; Saidja ;  ; Koopstra ; V ; 2V2 ; 8020
3195 ; Olena ;  ; Tjallema ; V ; 2V2 ; 7922
2705 ; Thessa ;  ; Volbeda ; V ; 2V2 ; 4485
3283 ; Lenette ;  ; Stegenga ; V ; 2V2 ; 8538
2391 ; Martha ;  ; Torensma ; V ; 2V2 ; 2287
2688 ; Raymond ;  ; Bleijenga ; M ; 2V2 ; 4359
2287 ; Margot ;  ; Eikema ; V ; 2V2 ; 1559
3022 ; Faris ;  ; Boomstra ; M ; 2V2 ; 6711
2848 ; Ross ;  ; Hettenga ; M ; 2V3 ; 5493
3008 ; Sjerp ;  ; Kubbinga ; M ; 2V3 ; 6613
2916 ; Micil ;  ; Houtstra ; M ; 2V3 ; 5969
3110 ; Auke ;  ; Bansenga ; M ; 2V3 ; 7327
2638 ; Quin ;  ; Wiglema ; M ; 2V3 ; 4023
2877 ; Christina ;  ; Pasma ; V ; 2V3 ; 5689
2333 ; Charisse ;  ; Dekkinga ; V ; 2V3 ; 1867
2459 ; Tiffany ;  ; Vollenga ; V ; 2V3 ; 2763
2232 ; Yarno ;  ; Schingenga ; M ; 2V3 ; 1167
2357 ; Adilah ;  ; Frijda ; V ; 2V3 ; 2035
3207 ; Melis ;  ; Hyma ; V ; 2V3 ; 8006
2342 ; Ab ;  ; Schrijfsma ; M ; 2V3 ; 1951
2710 ; Wessel ;  ; Camstra ; M ; 2V3 ; 4527
2448 ; Niel ;  ; Hommema ; M ; 2V3 ; 2679
3297 ; Marga ; de ; Jeeninga ; V ; 2V3 ; 8636
2865 ; Elleke ;  ; Bantema ; V ; 2V3 ; 5605
2946 ; Milano ;  ; Schuursma ; M ; 2V3 ; 6179
2894 ; Jake ;  ; IJbema ; M ; 2V3 ; 5815
3217 ; Jessica ; de ; Tiedema ; V ; 2V3 ; 8076
2347 ; Ella ;  ; Vierstra ; V ; 2V3 ; 1979
2433 ; Thalia ;  ; Schaafsma ; V ; 2V3 ; 2574
2538 ; Ovidius ;  ; Hylkema ; M ; 2V3 ; 3309
2984 ; Jezus ;  ; Jensma ; M ; 2V3 ; 6445
2623 ; Lisette ;  ; Gropstra ; V ; 2V3 ; 3918
2662 ; Carel ;  ; Alserda ; M ; 2H1 ; 4191
3037 ; Leoness ; de ; Steigenga ; V ; 2H1 ; 6816
2479 ; Jitte ;  ; Tiesinga ; V ; 2H1 ; 2910
3143 ; Niessien ;  ; Lootstra ; V ; 2H1 ; 7558
2684 ; Grietus ;  ; Wilstra ; M ; 2H1 ; 4338
2514 ; Franklin ;  ; Heemenga ; M ; 2H1 ; 3141
2993 ; Boudelot ; van ; Tamminga ; V ; 2H1 ; 6508
3285 ; Mirthe ;  ; Ungersma ; V ; 2H1 ; 8552
3294 ; Lennaert ;  ; Grozema ; M ; 2H1 ; 8615
2293 ; Annemiek ;  ; Idserda ; V ; 2H1 ; 1587
2311 ; Joyce ;  ; Haaisma ; V ; 2H1 ; 1727
2547 ; Nadia ;  ; Stellingsma ; V ; 2H1 ; 3372
2861 ; Vosje ;  ; Ukena ; V ; 2H1 ; 5577
3097 ; Chantal ; de ; Koelma ; V ; 2H1 ; 7236
2689 ; Melianne ;  ; Feddema ; V ; 2H1 ; 4380
2295 ; Dot ;  ; Ockema ; V ; 2H1 ; 1615
3228 ; Ursul ;  ; Hellinga ; M ; 2H1 ; 8153
2962 ; Eric ;  ; Juursema ; M ; 2H1 ; 6291
3222 ; Gijs  ;  ; Batstra ; M ; 2H1 ; 8111
2609 ; Karin ;  ; Poetsma ; V ; 2H1 ; 3813
3192 ; Gerrie ;  ; Schurenga ; M ; 2H1 ; 7901
2541 ; Dorine ;  ; Loddema ; V ; 2H1 ; 3330
2983 ; Heleen ;  ; Horkstra ; V ; 2H1 ; 6438
2896 ; Maximiliaan ;  ; Kraaijema ; M ; 2H1 ; 5829
3016 ; Nelson ;  ; Tirnsa ; M ; 2H1 ; 6669
2250 ; Rolof ;  ; Pijpstra ; M ; 2H1 ; 1307
2690 ; Wannes ;  ; Feddema ; M ; 2H1 ; 4380
2320 ; Sander ;  ; Renia ; M ; 2H1 ; 1783
2853 ; Gerry ;  ; Libbinga ; V ; 2H1 ; 5521
2622 ; Bouke ;  ; Broeksma ; M ; 2H1 ; 3897
2634 ; Gidon ;  ; Roosma ; M ; 2H2 ; 3981
2987 ; Miep ;  ; Mindertsma ; V ; 2H2 ; 6466
2885 ; Roelinde ;  ; Wietsma ; V ; 2H2 ; 5745
3098 ; Theodoor ;  ; Leysma ; M ; 2H2 ; 7243
2748 ; Riemer ;  ; Tuizenga ; M ; 2H2 ; 4793
2255 ; Camilla ;  ; Stania ; V ; 2H2 ; 1335
2281 ; Carmen ;  ; Tjalsma ; V ; 2H2 ; 1503
2461 ; Ammelie ;  ; Asinga ; V ; 2H2 ; 2784
2908 ; Sandrijn  ;  ; Allersma ; M ; 2H2 ; 5913
3305 ; Dorcas ;  ; Sonsma ; V ; 2H2 ; 8692
3236 ; Qiang ;  ; Ruitinga ; M ; 2H2 ; 8209
2531 ; Jorane ;  ; Bordenga ; V ; 2H2 ; 3267
2222 ; Xin ;  ; Hilverda ; M ; 2H2 ; 1111
2675 ; Luca ;  ; Morrema ; V ; 2H2 ; 4275
3030 ; Andries ;  ; Kooijstra ; M ; 2H2 ; 6767
3061 ; Ilena ;  ; Torenstra ; V ; 2H2 ; 6984
3069 ; Zwanda ;  ; Endema ; V ; 2H2 ; 7040
2772 ; Danny  ;  ; Wienija ; M ; 2H2 ; 4961
2981 ; Desirée ;  ; Haaitsma ; V ; 2H2 ; 6424
