//Docenten Donald Knuth College
//117 docenten
//aanhef, titel, intitialen, voorvoegsels en achternaam zijn samengevoegd
//velden: docentID, volledigeNaam, postvaknummer, emailadres
//datum: 12-10-2011
//versie: 2
//BOERM ; dhr. ir. mw. M. Boerebach ; 63 ; BOERM@DKC.NL vernaderd in:
//BOERM ; dhr. ir. M. Boerebach ; 63 ; BOERM@DKC.NL



BOERD ; dhr. D. de Boer ; 35 ; BOERD@DKC.NL
BOERY ; mw. Y. Boer ; 42 ; BOERY@DKC.NL
BOERR ; dhr. R. de Boer ; 49 ; BOERR@DKC.NL
BOERJ ; dhr. ir. J. Boere ; 56 ; BOERJ@DKC.NL
BOERM ; dhr. ir. M. Boerebach ; 63 ; BOERM@DKC.NL
BOERA ; dhr. A. Boersma ; 70 ; BOERA@DKC.NL
BOEVP ; dhr. P. Boeve ; 77 ; BOEVP@DKC.NL
BOGAW ; dhr. W. Bogarde ; 84 ; BOGAW@DKC.NL
BOMMM ; mw. drs. M. van Bommel ; 91 ; BOMMM@DKC.NL
BONSO ; dhr. drs. O. Bonsema ; 98 ; BONSO@DKC.NL
BOOGM ; dhr. M. van den Boogaart ; 105 ; BOOGM@DKC.NL
BOOGE ; dhr. M. Boogers ; 112 ; BOOGE@DKC.NL
BOOYF ; dhr. ir. F. Booy ; 119 ; BOOYF@DKC.NL
BOSCS ; dhr. ir. S. Boschker ; 5 ; BOSCS@DKC.NL
BOSKH ; dhr. H. Boskamp ; 12 ; BOSKH@DKC.NL
BOSKJ ; dhr. J. Boskamp ; 19 ; BOSKJ@DKC.NL
BOSMJ ; mw. J. Bosman ; 26 ; BOSMJ@DKC.NL
BOSSP ; mw. P. Bosschaart ; 33 ; BOSSP@DKC.NL
BOSVG ; mw. G. Bosveld ; 40 ; BOSVG@DKC.NL
BOSVH ; mw. H. Bosveld ; 47 ; BOSVH@DKC.NL
BOSVP ; dhr. dr. P. Bosvelt ; 54 ; BOSVP@DKC.NL
BOSZP ; dhr. P. Bosz ; 61 ; BOSZP@DKC.NL
BOTRR ; dhr. ir. R. Bot ; 68 ; BOTRR@DKC.NL
BOVED ; mw. drs. D. Bovenberg ; 75 ; BOVED@DKC.NL
BOUCE ; dhr. drs. E. Bouchiba ; 82 ; BOUCE@DKC.NL
BOULK ; dhr. ir. K. Boulahrouz ; 89 ; BOULK@DKC.NL
BOUMW ; dhr. W. Bouma, BSc ; 96 ; BOUMW@DKC.NL
BOUSA ; dhr. A. Boussaboun ; 103 ; BOUSA@DKC.NL
BOUSD ; dhr. D. Boussatta ; 110 ; BOUSD@DKC.NL
BOUSM ; dhr. M. Boussoufa ; 117 ; BOUSM@DKC.NL
BOUTS ; dhr. drs. S. Boutahar ; 3 ; BOUTS@DKC.NL
BRAAE ; dhr. E.T. Braafheid, MSc ; 10 ; BRAAE@DKC.NL
BRAAU ; dhr. U.R.L. te Braak ; 17 ; BRAAU@DKC.NL
BRATH ; mw. drs. Th. Brack ; 24 ; BRATH@DKC.NL
BRAMW ; dhr. ir. W. Brama ; 31 ; BRAMW@DKC.NL
BRANM ; dhr. M. Brands ; 38 ; BRANM@DKC.NL
BRANE ; dhr. E. Brandts ; 45 ; BRANE@DKC.NL
BRAZB ; dhr. B. Brazil ; 52 ; BRAZB@DKC.NL
BREDJ ; mw. drs. J. van Breda Kolff ; 59 ; BREDJ@DKC.NL
BREEN ; dhr. ir. N. de Bree ; 66 ; BREEN@DKC.NL
BREIR ; dhr. R. Breinburg ; 73 ; BREIR@DKC.NL
BREUM ; dhr. M. Breuer ; 80 ; BREUM@DKC.NL
BREUH ; dhr. H. van Breukelen ; 87 ; BREUH@DKC.NL
BREUT ; dhr. T. Breukers ; 94 ; BREUT@DKC.NL
BRINJ ; dhr. J. ten Brinke ; 101 ; BRINJ@DKC.NL
BROEB ; dhr. B. van den Broek ; 108 ; BROEB@DKC.NL
BROEJ ; dhr. J. Broerse ; 115 ; BROEJ@DKC.NL
BROKW ; dhr. W.W. Brokamp ; 1 ; BROKW@DKC.NL
BROMJ ; dhr. J. van den Brom ; 8 ; BROMJ@DKC.NL
BRONG ; dhr. drs. G. van Bronckhorst ; 15 ; BRONG@DKC.NL
BRUGA ; dhr. A. Bruggink ; 22 ; BRUGA@DKC.NL
BRUIJ ; mw. J. Bruin ; 29 ; BRUIJ@DKC.NL
BRUIL ; mw. drs. L. Bruins ; 36 ; BRUIL@DKC.NL
BRUMJ ; mw. drs. J. Bruma ; 43 ; BRUMJ@DKC.NL
BRUMM ; dhr. M. Bruma ; 50 ; BRUMM@DKC.NL
BRUSM ; dhr. M. Brusselers ; 57 ; BRUSM@DKC.NL
BRUST ; dhr. T. Brusselers ; 64 ; BRUST@DKC.NL
BUIJD ; dhr. D.D. Buijs, MSc ; 71 ; BUIJD@DKC.NL
BUIKR ; dhr. R.E. Buikema, RA ; 78 ; BUIKR@DKC.NL
BUNJI ; dhr. J.I.T. van Bun ; 85 ; BUNJI@DKC.NL
BURTH ; dhr. drs. Th. van den Burch ; 92 ; BURTH@DKC.NL
BURGJ ; dhr. J. Burgers ; 99 ; BURGJ@DKC.NL
BURGM ; dhr. M. Burgzorg ; 106 ; BURGM@DKC.NL
BURID ; mw. drs. D. van Burik ; 113 ; BURID@DKC.NL
BUSDD ; dhr. D. Bus ; 120 ; BUSDD@DKC.NL
BUSKM ; dhr. M. Buskermolen ; 6 ; BUSKM@DKC.NL


